sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
865,0,865,27.796086,0,5,288.567200,276.396210,0.204000,0.034000,0.000000
865,0,865,27.796086,0,8,168.279556,318.058258,0.102000,0.068000,0.000000
865,0,865,27.796086,0,9,210.170593,316.582214,0.136000,0.068000,0.000000
865,0,865,27.796086,0,10,249.920715,315.943085,0.170000,0.068000,0.000000
865,0,865,27.796086,0,11,290.833954,315.550415,0.204000,0.068000,0.000000
865,0,865,27.796086,0,15,211.824875,356.613190,0.136000,0.102000,0.000000
865,0,865,27.796086,0,16,252.807755,355.590729,0.170000,0.102000,0.000000
865,0,865,27.796086,0,17,293.330780,354.452698,0.204000,0.102000,0.000000
865,0,865,27.796086,0,21,213.928940,395.514313,0.136000,0.136000,0.000000
865,0,865,27.796086,0,22,254.468918,394.096558,0.170000,0.136000,0.000000
865,0,865,27.796086,0,23,294.809906,393.327332,0.204000,0.136000,0.000000
865,1,865,27.796086,0,2,1317.388062,446.518127,0.102000,0.034000,0.000000
865,1,865,27.796086,0,3,1354.908203,448.283508,0.136000,0.034000,0.000000
865,1,865,27.796086,0,4,1392.686401,448.853424,0.170000,0.034000,0.000000
865,1,865,27.796086,0,5,1428.841064,449.546936,0.204000,0.034000,0.000000
865,1,865,27.796086,0,8,1316.830566,490.734619,0.102000,0.068000,0.000000
865,1,865,27.796086,0,9,1354.633911,491.344910,0.136000,0.068000,0.000000
865,1,865,27.796086,0,10,1392.913330,492.502289,0.170000,0.068000,0.000000
865,1,865,27.796086,0,11,1429.168579,492.608093,0.204000,0.068000,0.000000
865,1,865,27.796086,0,15,1354.056885,534.723755,0.136000,0.102000,0.000000
865,1,865,27.796086,0,16,1391.642456,534.739319,0.170000,0.102000,0.000000
865,1,865,27.796086,0,17,1428.149902,534.852417,0.204000,0.102000,0.000000
865,1,865,27.796086,0,21,1353.611572,578.045593,0.136000,0.136000,0.000000
865,1,865,27.796086,0,22,1390.460083,577.468994,0.170000,0.136000,0.000000
865,1,865,27.796086,0,23,1428.442749,577.741821,0.204000,0.136000,0.000000
880,0,880,28.278099,0,2,284.424835,275.369568,0.102000,0.034000,0.000000
880,0,880,28.278099,0,3,323.880951,276.089813,0.136000,0.034000,0.000000
880,0,880,28.278099,0,4,363.372314,276.281372,0.170000,0.034000,0.000000
880,0,880,28.278099,0,5,401.351685,275.824066,0.204000,0.034000,0.000000
880,0,880,28.278099,0,6,204.697495,314.566406,0.034000,0.068000,0.000000
880,0,880,28.278099,0,7,245.383713,313.436066,0.068000,0.068000,0.000000
880,0,880,28.278099,0,8,284.627563,314.510162,0.102000,0.068000,0.000000
880,0,880,28.278099,0,9,324.628906,314.361084,0.136000,0.068000,0.000000
880,0,880,28.278099,0,10,363.396027,314.261566,0.170000,0.068000,0.000000
